standard_number,standard_number_raw,is_number,part,title,scope_description,scope_source,scope_usable,category,latest_version,version_source,year_published,certification_type,mandatory,certification_source,qco_reference,certification_basis,certification_reference,source_url,confidence,review_severity,amendment_count,source,review_reason
IS 269:2015,IS 269 - 2015,269,,"Specification for 33,43,53 Grade ordinary Portland cement",This standard covers the manufacture and chemical and physical requirements of 33 grade ordinary Portland cement.,scraped,True,Cement & Construction,IS 269:2015,derived_from_year,2015,BIS Product Certification,True,qco_gazette,"Cement (Quality Control) Order, 2003 -- S.O. 191(E) dated 17 Feb 2003 (DPIIT); BIS CMD-1/12:1 dated 08 Dec 2006",,,https://archive.org/details/gov.in.is.269.2013,high,minor,,wikipedia_civil_codes;archive_org_scope,missing_amendment_count
IS 8041:1990,IS 8041 - 1990,8041,,Specification for Rapid hardening Portland cement,1.1 This standard covers the manufacture and chemical and physical requirements of rapid hardening Portland cement. NOTE — The term 'rapid hardening' should not be confused with 'quick-setting*.,scraped,True,Cement & Construction,IS 8041:1990,derived_from_year,1990,BIS Product Certification,True,qco_gazette,"Cement (Quality Control) Order, 2003 -- S.O. 191(E) dated 17 Feb 2003 (DPIIT); BIS CMD-1/12:1 dated 08 Dec 2006",,,https://archive.org/details/gov.in.is.8041.1990,high,minor,,wikipedia_civil_codes;archive_org_scope,missing_amendment_count
IS 1489-1-2:1991,IS 1489 (part 1&2) 1991,1489,1-2,Specification for Portland Pozzolona cement,"This standard ( Part 2 ) ( Third Revision) covers the manufacture, physical and chemical requirements of Portland-pozzolana cement manufactured by using calcined clay pozzolana or a mixture of calcined clay and fly ash pozzolana.",scraped,True,Cement & Construction,IS 1489-1-2:1991,derived_from_year,1991,BIS Product Certification,True,qco_gazette,"Cement (Quality Control) Order, 2003 -- S.O. 191(E) dated 17 Feb 2003 (DPIIT); BIS CMD-1/12:1 dated 08 Dec 2006",,,https://archive.org/details/gov.in.is.1489.2.1991,high,minor,,wikipedia_civil_codes;archive_org_scope,missing_amendment_count
IS 4031:1988,IS 4031 - 1988,4031,,Methods of physical test for hydraulic cement,1.1 This standard ( Part 1 1 ) covers the proce- dure for determining the density of hydraulic cement.,scraped,True,Cement & Construction,IS 4031:1988,derived_from_year,1988,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4031.11.1988,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4032:1985,IS 4032 - 1985,4032,,Method of chemical analysis of hydraulic cement,"1.1 This standard gives the procedure for the chemical analysis of the different types of hydraulic cement. 1.2 In addition to the tests for chemical requirements prescribed in different cement specifications, this standard also covers test for determination of free lime in Portland cement, pozzolanicity test for Portland pozzolana cement and stainingtest for masonry cement. Note — Analysis of hydraulic cement may bedone using rapid methods such as atomic absorption spectrophotometer method ( see IS : 12813-1989t ) or X-ray fluorescence spectrometer method (see IS : 12803- 1989t ), or calorimetric analysis (see IS : 12423-1988§ ) not covered in thisstandard. However, in case of dispute or doubtful marginal values, the method given in thisstandard shall betaken as referee method.",scraped,True,Cement & Construction,IS 4032:1985,derived_from_year,1985,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4032.1985,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 3535:1986,IS 3535 - 1986,3535,,Method of sampling for hydraulic cement,"1.1 This standard prescribes the methods for sampling and the criteria for conformity of hydraulic cements from bags, bulk storage (silos), ship's hold, wagons and conveyors. Broad outlines with regard to the controls to be exercised during the manufacturing process have also been indicated.",scraped,True,Cement & Construction,IS 3535:1986,derived_from_year,1986,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3535.1986,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 650:1991,IS 650 - 1991,650,,Standard sand testing of cement,This standard lays down requirements for Stan- dard sand used in testing of cement.,scraped,False,Cement & Construction,IS 650:1991,derived_from_year,1991,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.650.1991,medium,blocker,,wikipedia_civil_codes;archive_org_scope,scope_too_short (14 words);certification_not_determined;missing_amendment_count
IS 8112:2013,IS 8112 - 2013,8112,,Specification for 43 Grade OPC,This standard covers the manufacture and chemical and physical requirements of 43 grade ordinary Portland cement.,scraped,True,Cement & Construction,IS 8112:2013,derived_from_year,2013,BIS Product Certification,True,qco_gazette,"Cement (Quality Control) Order, 2003 -- S.O. 191(E) dated 17 Feb 2003 (DPIIT); BIS CMD-1/12:1 dated 08 Dec 2006",,,https://archive.org/details/gov.in.is.8112.2013,medium,minor,,wikipedia_civil_codes;archive_org_scope,missing_amendment_count
IS 12269:1987,IS 12269-1987,12269,,Specification for 53 Grade OPC,This standard covers the manufacture and chemical and physical requirements of 53 grade ordinary Portland cement.,scraped,True,Cement & Construction,IS 12269:1987,derived_from_year,1987,BIS Product Certification,True,qco_gazette,"Cement (Quality Control) Order, 2003 -- S.O. 191(E) dated 17 Feb 2003 (DPIIT); BIS CMD-1/12:1 dated 08 Dec 2006",,,https://archive.org/details/gov.in.is.12269.1987,medium,minor,,wikipedia_civil_codes;archive_org_scope,missing_amendment_count
IS 383:2016,IS 383:2016,383,,Coarse and Fine Aggregate for Concrete - Specification,"Specification for coarse and fine aggregate obtained from natural sources, manufactured sand, iron slag and recycled concrete aggregate for use in concrete and mortar, covering quality and grading limits, permissible limits of deleterious materials, soundness, flakiness and elongation indices, water absorption, alkali aggregate reactivity, and sampling and testing frequency.",drafted,True,Construction,IS 383:2016,derived_from_year,2016,Not determined,,not_assessed,,,,,high,minor,,curated_task3,certification_not_determined;missing_source_url
