standard_number,title,scope_description,category,latest_version,year_published,source,needs_review,review_reason
IS 269 - 2015,"Specification for 33,43,53 Grade ordinary Portland cement","Specification for 33,43,53 Grade ordinary Portland cement",Cement & Construction,,2015,wikipedia_civil_codes,True,scope_too_short (7 words)
IS 8041 - 1990,Specification for Rapid hardening Portland cement,specifications for RHPC (Rapid Hardening Portland cement),Cement & Construction,,1990,wikipedia_civil_codes,True,scope_too_short (7 words)
IS 1489 (part 1&2) 1991,Specification for Portland Pozzolona cement,Specification for Portland Pozzolona cement,Cement & Construction,,1991,wikipedia_civil_codes,True,scope_too_short (5 words)
IS 4031 - 1988,Methods of physical test for hydraulic cement,Methods of physical test for hydraulic cement,Cement & Construction,,1988,wikipedia_civil_codes,True,scope_too_short (7 words)
IS 4032 - 1985,Method of chemical analysis of hydraulic cement,Method of chemical analysis of hydraulic cement,Cement & Construction,,1985,wikipedia_civil_codes,True,scope_too_short (7 words)
IS 3535 - 1986,Method of sampling for hydraulic cement,Method of sampling for hydraulic cement,Cement & Construction,,1986,wikipedia_civil_codes,True,scope_too_short (6 words)
IS 650 - 1991,Standard sand testing of cement,Standard sand testing of cement,Cement & Construction,,1991,wikipedia_civil_codes,True,scope_too_short (5 words)
IS 8112 - 2013,Specification for 43 Grade OPC,Specification for 43 Grade OPC,Uncategorized,,2013,wikipedia_civil_codes,True,scope_too_short (5 words)
IS 12269-1987,Specification for 53 Grade OPC,Specification for 53 Grade OPC,Uncategorized,,1987,wikipedia_civil_codes,True,scope_too_short (5 words)
IS 383-2016,Specification for coarse and fine aggregate,specifications for fine and coarse aggregate from natural sources for concrete,Cement & Construction,,2016,wikipedia_civil_codes,False,
IS 2386 (Part I) 1963,Methods of test for aggregate for concrete particle size and shape,Methods of test for aggregate for concrete particle size and shape,Cement & Construction,,1963,wikipedia_civil_codes,False,
IS 2386 (Part II) 1963,Methods of test for aggregate for concrete estimation of deleterious materials and organic impurities,Methods of test for aggregate for concrete estimation of deleterious materials and organic impurities,Cement & Construction,,1963,wikipedia_civil_codes,False,
